TestItem,Function,Mode,Low Limit,Up Limit,Next Step,Level
Pre Test,pre_test,test,nan,nan,continue,root
Test Point2,test_point2,test,nan,nan,continue,root
Test Point2:X Position,test_point2,test,nan,nan,continue,child
Test Point2:Y Position,test_point2,test,nan,nan,continue,child
Test Point2:Fmax,test_point2,test,nan,nan,continue,child
Test Point2:Fmin,test_point2,test,nan,nan,continue,child
Test Point2:Fc,test_point2,test,nan,nan,continue,child
Test Point2:Fb,test_point2,test,nan,nan,continue,child
Test Point2:Frmax,test_point2,test,nan,nan,continue,child
Test Point2:Frmin,test_point2,test,nan,nan,continue,child
Test Point2:Tfmax,test_point2,test,nan,nan,continue,child
Test Point2:Tfmin,test_point2,test,nan,nan,continue,child
Test Point2:Tfrmax,test_point2,test,nan,nan,continue,child
Test Point2:Tfrmin,test_point2,test,nan,nan,continue,child
Test Point2:SnapRadio,test_point2,test,nan,nan,continue,child
Test Point2:Tfactor,test_point2,test,nan,nan,continue,child
Test Point2:Frfactor,test_point2,test,nan,nan,continue,child
Test Point2:Trfactor,test_point2,test,nan,nan,continue,child
Test Point2:TAS,test_point2,test,nan,nan,continue,child
Test Point2:TRS,test_point2,test,nan,nan,continue,child
Test Point2:Factor1,test_point2,test,nan,nan,continue,child
Test Point2:Factor2,test_point2,test,nan,nan,continue,child
Test Point2:Factor3,test_point2,test,nan,nan,continue,child
Test Point2:Factor4,test_point2,test,nan,nan,continue,child
Test Point2,test_point2,test,nan,nan,continue,root
Test Point2:X Position,test_point2,test,nan,nan,continue,child
Test Point2:Y Position,test_point2,test,nan,nan,continue,child
Test Point2:Fmax,test_point2,test,nan,nan,continue,child
Test Point2:Fmin,test_point2,test,nan,nan,continue,child
Test Point2:Fc,test_point2,test,nan,nan,continue,child
Test Point2:Fb,test_point2,test,nan,nan,continue,child
Test Point2:Frmax,test_point2,test,nan,nan,continue,child
Test Point2:Frmin,test_point2,test,nan,nan,continue,child
Test Point2:Tfmax,test_point2,test,nan,nan,continue,child
Test Point2:Tfmin,test_point2,test,nan,nan,continue,child
Test Point2:Tfrmax,test_point2,test,nan,nan,continue,child
Test Point2:Tfrmin,test_point2,test,nan,nan,continue,child
