SN,Pass/Fail,errStr,StartTime,EndTime,TestTime,Pre Test,Test Point1,Test Point2,Test Point3,Test Point4,Test Point5,Test Point6,Post Test
Function,,,,,,pre_test,test_point1,test_point2,test_point3,test_point4,test_point5,test_point5,post_test
Mode,,,,,,test,test,test,test,test,test,test,test
Lower Limit,,,,,,-1,-1,-1,-1,-1,-1,-1,-1
Upper Limit,,,,,,1,1,1,1,1,1,1,1
12345678,Pass,no error,2017-12-18 16:36:59,2017-12-18 16:37:22,22.71,0.2,0.2,0.1,0.5,0.5,0.5,0.5,0.9
12345678,Pass,no error,2017-12-18 16:38:28,2017-12-18 16:38:48,19.560000000000002,0.2,0.2,0.1,0.5,0.5,0.5,0.5,0.9
12345678,Pass,no error,2017-12-18 16:39:28,2017-12-18 16:39:47,19.119999999999997,0.2,0.2,0.1,0.5,0.5,0.5,0.5,0.9
12345678,Pass,no error,2017-12-18 16:40:24,2017-12-18 16:40:48,23.66,0.2,0.2,0.1,0.5,0.5,0.5,0.5,0.9
12345678,Pass,no error,2017-12-18 16:42:20,2017-12-18 16:42:34,13.429999999999998,0.2,0.2,0.1,0.5,0.5,0.5,0.5,0.9
12345678,Pass,no error,2017-12-18 16:43:29,2017-12-18 16:43:38,8.58,0.2,0.2,0.1,0.5,0.5,0.5,0.5,0.9
12345678,Pass,no error,2017-12-18 16:47:44,2017-12-18 16:47:52,8.14,0.2,0.2,0.1,0.5,0.5,0.5,0.5,0.9
12345678,Pass,no error,2017-12-18 16:49:29,2017-12-18 16:49:41,12.09,0.2,0.2,0.1,0.5,0.5,0.5,0.5,0.9
